"POINTID","GRID_CODE","coords.x1","coords.x2","elevation","slope","aspect","hillshade","clay","sand","bd","soc","LC"
734,0.12855646,-9535038.56118906,3690801.14351084,527,2,86,175,27,40,150,4,10
735,0.12855646,-9534038.56118906,3690801.14351084,510,1,81,177,27,39,155,3,10
736,0.11492697,-9533038.56118906,3690801.14351084,500,1,74,178,28,39,158,3,10
737,0.11492697,-9532038.56118906,3690801.14351084,492,0,184,180,28,40,155,3,10
738,0.11492697,-9531038.56118906,3690801.14351084,493,0,194,181,27,41,156,3,10
739,0.1915922,-9530038.56118906,3690801.14351084,495,1,238,182,28,39,155,3,10
740,0.1915922,-9529038.56118906,3690801.14351084,512,1,235,183,27,42,152,3,10
741,0.1915922,-9528038.56118906,3690801.14351084,521,1,189,181,27,43,150,4,10
742,0.2344169,-9527038.56118906,3690801.14351084,518,1,183,181,27,41,151,4,10
743,0.2344169,-9526038.56118906,3690801.14351084,510,1,101,178,28,41,153,4,10
744,0.2344169,-9525038.56118906,3690801.14351084,497,0,172,180,29,37,153,4,10
745,0.18440241,-9524038.56118906,3690801.14351084,508,1,199,181,29,39,153,4,10
746,0.18440241,-9523038.56118906,3690801.14351084,503,1,208,181,30,39,152,4,10
747,0.18440241,-9522038.56118906,3690801.14351084,518,1,256,183,28,41,149,5,10
748,0.20814787,-9521038.56118906,3690801.14351084,527,1,184,181,30,40,150,5,10
749,0.20814787,-9520038.56118906,3690801.14351084,520,2,173,180,31,40,153,5,10
750,0.20814787,-9519038.56118906,3690801.14351084,514,2,208,183,29,41,150,5,10
751,0.16144578,-9518038.56118906,3690801.14351084,541,2,184,181,28,43,144,5,10
752,0.16144578,-9517038.56118906,3690801.14351084,517,2,133,176,29,42,149,5,9
753,0.16144578,-9516038.56118906,3690801.14351084,498,1,154,179,30,40,150,5,10
754,0.08337148,-9515038.56118906,3690801.14351084,505,1,167,179,30,40,150,4,10
755,0.08337148,-9514038.56118906,3690801.14351084,489,1,120,177,29,40,150,5,10
756,0.08337148,-9513038.56118906,3690801.14351084,475,1,192,181,29,41,149,5,10
757,0.14733429,-9548038.56118906,3689801.14351084,555,2,60,176,28,41,149,4,10
758,0.14733429,-9547038.56118906,3689801.14351084,542,1,66,177,28,37,152,3,10
759,0.14733429,-9546038.56118906,3689801.14351084,528,0,172,180,27,38,152,3,10
760,0.15905586,-9545038.56118906,3689801.14351084,554,1,201,182,28,40,150,3,10
761,0.15905586,-9544038.56118906,3689801.14351084,554,1,188,181,29,39,151,4,10
762,0.15905586,-9543038.56118906,3689801.14351084,558,1,54,178,28,40,150,4,10
763,0.03022038,-9542038.56118906,3689801.14351084,534,1,73,177,26,38,152,4,10
764,0.03022038,-9541038.56118906,3689801.14351084,527,0,124,179,27,39,151,4,10
765,0.03022038,-9540038.56118906,3689801.14351084,525,0,160,180,26,40,149,4,13
766,0.14932877,-9539038.56118906,3689801.14351084,520,1,190,181,27,38,148,4,12
767,0.14932877,-9538038.56118906,3689801.14351084,526,1,241,183,26,39,153,3,10
768,0.14932877,-9537038.56118906,3689801.14351084,546,1,217,182,29,39,152,4,10
769,0.07918185,-9536038.56118906,3689801.14351084,546,1,142,178,29,40,150,4,10
770,0.07918185,-9535038.56118906,3689801.14351084,521,1,98,177,27,40,152,3,10
771,0.07918185,-9534038.56118906,3689801.14351084,511,1,103,178,28,39,153,2,10
772,0.10469671,-9533038.56118906,3689801.14351084,503,1,90,179,28,39,156,3,10
773,0.10469671,-9532038.56118906,3689801.14351084,488,0,90,179,28,39,158,3,10
774,0.10469671,-9531038.56118906,3689801.14351084,486,0,174,180,26,42,158,3,10
775,0.18440902,-9530038.56118906,3689801.14351084,487,0,229,181,28,38,155,3,10
776,0.18440902,-9529038.56118906,3689801.14351084,497,1,221,182,28,39,154,3,10
777,0.18440902,-9528038.56118906,3689801.14351084,502,1,195,181,27,43,152,4,10
778,0.18095587,-9527038.56118906,3689801.14351084,504,1,206,181,26,41,154,3,10
779,0.18095587,-9526038.56118906,3689801.14351084,503,1,134,178,28,40,153,4,10
780,0.18095587,-9525038.56118906,3689801.14351084,490,0,152,180,28,38,153,4,10
781,0.15199815,-9524038.56118906,3689801.14351084,497,1,201,181,29,38,152,4,10
782,0.15199815,-9523038.56118906,3689801.14351084,498,1,253,183,29,39,153,4,10
783,0.15199815,-9522038.56118906,3689801.14351084,520,1,257,183,28,42,152,4,10
784,0.18876305,-9521038.56118906,3689801.14351084,521,1,128,178,29,40,151,4,10
785,0.18876305,-9520038.56118906,3689801.14351084,498,1,136,178,31,38,152,4,10
786,0.18876305,-9519038.56118906,3689801.14351084,502,1,205,182,29,41,151,4,10
787,0.20043688,-9518038.56118906,3689801.14351084,509,2,183,181,29,42,152,4,10
788,0.20043688,-9517038.56118906,3689801.14351084,504,1,141,178,28,43,150,5,10
789,0.20043688,-9516038.56118906,3689801.14351084,484,1,142,179,28,43,150,4,9
790,0.13235326,-9515038.56118906,3689801.14351084,488,1,190,181,28,41,151,4,10
791,0.13235326,-9514038.56118906,3689801.14351084,489,1,122,178,28,41,150,4,10
792,0.13235326,-9513038.56118906,3689801.14351084,453,1,152,179,27,41,152,4,10
793,0.14733429,-9548038.56118906,3688801.14351084,583,1,85,177,29,39,151,4,10
794,0.14733429,-9547038.56118906,3688801.14351084,552,2,55,175,27,40,151,3,10
795,0.14733429,-9546038.56118906,3688801.14351084,532,1,63,178,28,36,150,3,10
796,0.15905586,-9545038.56118906,3688801.14351084,533,1,200,181,27,39,152,3,10
797,0.15905586,-9544038.56118906,3688801.14351084,536,1,227,183,27,39,152,3,10
798,0.15905586,-9543038.56118906,3688801.14351084,555,1,203,181,28,38,150,4,10
799,0.03022038,-9542038.56118906,3688801.14351084,545,1,79,178,28,38,151,4,10
800,0.03022038,-9541038.56118906,3688801.14351084,529,1,59,178,27,38,151,4,10
801,0.03022038,-9540038.56118906,3688801.14351084,519,1,71,179,28,40,149,4,13
802,0.14932877,-9539038.56118906,3688801.14351084,510,0,173,180,27,38,150,4,13
803,0.14932877,-9538038.56118906,3688801.14351084,513,1,209,181,27,38,152,3,10
804,0.14932877,-9537038.56118906,3688801.14351084,520,1,205,182,27,40,153,4,10
805,0.07918185,-9536038.56118906,3688801.14351084,528,1,182,180,29,40,155,3,10
806,0.07918185,-9535038.56118906,3688801.14351084,521,1,112,178,27,41,155,3,10
807,0.07918185,-9534038.56118906,3688801.14351084,505,1,110,178,28,40,154,3,10
808,0.10469671,-9533038.56118906,3688801.14351084,500,0,131,179,28,39,156,3,10
809,0.10469671,-9532038.56118906,3688801.14351084,492,0,104,179,29,38,154,3,10
810,0.10469671,-9531038.56118906,3688801.14351084,482,0,127,179,28,38,156,3,10
811,0.18440902,-9530038.56118906,3688801.14351084,484,0,243,181,29,38,155,3,10
812,0.18440902,-9529038.56118906,3688801.14351084,492,0,215,181,30,37,156,3,10
813,0.18440902,-9528038.56118906,3688801.14351084,490,1,204,181,27,42,155,2,10
814,0.18095587,-9527038.56118906,3688801.14351084,499,1,219,181,27,41,155,3,10
815,0.18095587,-9526038.56118906,3688801.14351084,488,1,121,179,27,39,152,4,10
816,0.18095587,-9525038.56118906,3688801.14351084,484,0,159,180,27,38,153,4,10
817,0.15199815,-9524038.56118906,3688801.14351084,484,1,214,181,28,38,152,4,9
818,0.15199815,-9523038.56118906,3688801.14351084,495,1,256,183,28,40,154,4,10
819,0.15199815,-9522038.56118906,3688801.14351084,512,1,203,182,28,42,152,4,10
820,0.18876305,-9521038.56118906,3688801.14351084,507,2,151,178,27,42,153,4,10
821,0.18876305,-9520038.56118906,3688801.14351084,490,1,134,177,27,42,152,4,10
822,0.18876305,-9519038.56118906,3688801.14351084,482,1,201,182,29,42,153,4,10
823,0.20043688,-9518038.56118906,3688801.14351084,489,1,178,180,28,43,153,4,10
824,0.20043688,-9517038.56118906,3688801.14351084,481,1,156,179,29,43,152,4,10
825,0.20043688,-9516038.56118906,3688801.14351084,474,1,147,179,29,41,152,4,10
826,0.13235326,-9515038.56118906,3688801.14351084,472,1,180,180,28,41,153,4,10
827,0.13235326,-9514038.56118906,3688801.14351084,474,1,172,180,27,43,153,4,10
828,0.13235326,-9513038.56118906,3688801.14351084,449,1,102,177,26,41,155,4,10
829,0.14733429,-9548038.56118906,3687801.14351084,558,2,218,183,27,39,151,3,10
830,0.14733429,-9547038.56118906,3687801.14351084,583,1,90,179,29,40,148,4,9
831,0.14733429,-9546038.56118906,3687801.14351084,543,2,79,174,29,40,150,4,9
832,0.15905586,-9545038.56118906,3687801.14351084,525,1,209,181,28,37,154,3,10
833,0.15905586,-9544038.56118906,3687801.14351084,530,1,212,181,27,37,153,3,10
834,0.15905586,-9543038.56118906,3687801.14351084,534,1,200,181,28,38,152,3,10
835,0.03022038,-9542038.56118906,3687801.14351084,540,1,211,181,28,39,154,3,10
836,0.03022038,-9541038.56118906,3687801.14351084,545,0,106,179,29,38,152,3,10
837,0.03022038,-9540038.56118906,3687801.14351084,531,1,90,177,30,38,152,3,10
838,0.14932877,-9539038.56118906,3687801.14351084,510,0,106,179,28,36,152,4,10
839,0.14932877,-9538038.56118906,3687801.14351084,505,0,171,180,29,37,152,3,10
840,0.14932877,-9537038.56118906,3687801.14351084,508,1,222,181,27,38,155,3,10
841,0.07918185,-9536038.56118906,3687801.14351084,516,1,186,181,28,43,156,3,10
842,0.07918185,-9535038.56118906,3687801.14351084,510,1,142,179,28,42,157,3,10
843,0.07918185,-9534038.56118906,3687801.14351084,502,1,123,179,27,41,157,3,10
844,0.10469671,-9533038.56118906,3687801.14351084,494,1,131,179,28,41,156,3,10
845,0.10469671,-9532038.56118906,3687801.14351084,484,0,116,179,27,40,155,3,10
846,0.10469671,-9531038.56118906,3687801.14351084,479,0,154,180,28,39,155,3,10
847,0.18440902,-9530038.56118906,3687801.14351084,481,0,233,181,27,39,156,3,10
848,0.18440902,-9529038.56118906,3687801.14351084,487,0,196,181,28,39,157,3,10
849,0.18440902,-9528038.56118906,3687801.14351084,484,0,189,180,28,40,158,3,10
850,0.18095587,-9527038.56118906,3687801.14351084,488,1,229,182,27,40,158,3,10
851,0.18095587,-9526038.56118906,3687801.14351084,491,1,109,178,27,40,155,3,10
852,0.18095587,-9525038.56118906,3687801.14351084,478,0,115,179,29,38,156,3,10
853,0.15199815,-9524038.56118906,3687801.14351084,478,1,223,182,28,38,155,4,9
854,0.15199815,-9523038.56118906,3687801.14351084,490,1,206,181,27,39,154,3,9
855,0.15199815,-9522038.56118906,3687801.14351084,488,1,159,179,27,40,153,3,10
856,0.18876305,-9521038.56118906,3687801.14351084,475,2,149,178,26,42,154,3,10
857,0.18876305,-9520038.56118906,3687801.14351084,465,1,167,180,27,41,155,3,10
858,0.18876305,-9519038.56118906,3687801.14351084,465,1,194,181,26,41,155,3,10
859,0.20043688,-9518038.56118906,3687801.14351084,473,1,180,180,27,42,155,3,10
860,0.20043688,-9517038.56118906,3687801.14351084,465,1,168,180,27,41,156,3,10
861,0.20043688,-9516038.56118906,3687801.14351084,468,1,146,179,27,41,156,3,10
862,0.13235326,-9515038.56118906,3687801.14351084,455,1,149,179,28,40,158,3,10
863,0.13235326,-9514038.56118906,3687801.14351084,457,1,189,181,26,42,157,3,10
864,0.13235326,-9513038.56118906,3687801.14351084,445,1,98,177,28,37,156,3,10
865,0.09493078,-9548038.56118906,3686801.14351084,538,1,204,182,27,41,155,3,10
866,0.09493078,-9547038.56118906,3686801.14351084,552,2,190,181,28,40,152,3,10
867,0.09493078,-9546038.56118906,3686801.14351084,546,1,113,178,28,40,154,3,10
868,0.12566568,-9545038.56118906,3686801.14351084,512,0,138,180,27,39,155,3,10
869,0.12566568,-9544038.56118906,3686801.14351084,519,1,217,181,29,37,153,3,10
870,0.12566568,-9543038.56118906,3686801.14351084,523,1,195,181,29,37,152,2,10
871,0.12800765,-9542038.56118906,3686801.14351084,524,1,189,181,28,38,154,3,10
872,0.12800765,-9541038.56118906,3686801.14351084,526,1,167,180,28,41,155,3,10
873,0.12800765,-9540038.56118906,3686801.14351084,519,1,148,179,28,39,155,3,10
874,0.0770107,-9539038.56118906,3686801.14351084,506,1,112,179,27,39,156,3,10
875,0.0770107,-9538038.56118906,3686801.14351084,499,0,180,180,29,37,154,3,10
876,0.0770107,-9537038.56118906,3686801.14351084,506,0,233,181,28,37,155,3,9
877,0.1054021,-9536038.56118906,3686801.14351084,507,0,145,180,27,42,157,3,10
878,0.1054021,-9535038.56118906,3686801.14351084,500,1,140,179,27,40,156,3,10
879,0.1054021,-9534038.56118906,3686801.14351084,493,1,133,179,28,40,157,3,10
880,0.12436399,-9533038.56118906,3686801.14351084,486,1,162,180,26,41,157,3,10
881,0.12436399,-9532038.56118906,3686801.14351084,487,0,108,179,28,39,155,3,10
882,0.12436399,-9531038.56118906,3686801.14351084,475,0,100,179,28,37,155,3,10
883,0.1507517,-9530038.56118906,3686801.14351084,477,0,206,181,27,38,156,3,10
884,0.1507517,-9529038.56118906,3686801.14351084,480,0,205,181,28,38,157,3,10
885,0.1507517,-9528038.56118906,3686801.14351084,483,0,180,180,28,40,157,3,10
886,0.15496327,-9527038.56118906,3686801.14351084,480,0,201,181,29,38,155,3,10
887,0.15496327,-9526038.56118906,3686801.14351084,478,1,150,179,29,38,154,3,10
888,0.15496327,-9525038.56118906,3686801.14351084,477,1,148,179,29,38,155,3,10
889,0.09071202,-9524038.56118906,3686801.14351084,469,1,160,180,28,38,155,3,10
890,0.09071202,-9523038.56118906,3686801.14351084,471,1,174,180,27,38,155,3,9
891,0.09071202,-9522038.56118906,3686801.14351084,466,1,159,179,26,41,155,3,10
892,0.13715412,-9521038.56118906,3686801.14351084,462,1,146,179,26,43,155,3,10
893,0.13715412,-9520038.56118906,3686801.14351084,455,0,160,180,27,39,155,3,10
894,0.13715412,-9519038.56118906,3686801.14351084,459,0,184,180,27,40,156,3,10
895,0.11590105,-9518038.56118906,3686801.14351084,458,1,165,180,27,42,158,3,10
896,0.11590105,-9517038.56118906,3686801.14351084,453,1,177,180,27,42,159,2,10
897,0.11590105,-9516038.56118906,3686801.14351084,457,1,175,180,28,39,157,3,10
898,0.0735726,-9515038.56118906,3686801.14351084,451,1,138,179,28,40,157,3,10
899,0.0735726,-9514038.56118906,3686801.14351084,444,1,157,179,25,47,159,2,10
900,0.0735726,-9513038.56118906,3686801.14351084,444,1,138,179,28,38,156,3,10
901,0.09493078,-9548038.56118906,3685801.14351084,527,1,156,180,28,41,156,3,10
902,0.09493078,-9547038.56118906,3685801.14351084,530,1,186,181,28,40,156,3,10
903,0.09493078,-9546038.56118906,3685801.14351084,530,1,164,180,27,41,156,3,10
904,0.12566568,-9545038.56118906,3685801.14351084,516,0,71,179,28,42,155,3,10
905,0.12566568,-9544038.56118906,3685801.14351084,513,0,165,180,29,39,154,4,10
906,0.12566568,-9543038.56118906,3685801.14351084,513,0,201,181,28,38,154,3,10
907,0.12800765,-9542038.56118906,3685801.14351084,517,0,205,181,28,38,154,3,10
908,0.12800765,-9541038.56118906,3685801.14351084,519,0,142,179,27,40,152,3,10
909,0.12800765,-9540038.56118906,3685801.14351084,509,0,150,180,27,39,156,3,10
910,0.0770107,-9539038.56118906,3685801.14351084,503,1,101,179,28,40,156,3,10
911,0.0770107,-9538038.56118906,3685801.14351084,496,0,162,180,27,39,155,3,10
912,0.0770107,-9537038.56118906,3685801.14351084,501,1,220,181,27,38,155,3,10
913,0.1054021,-9536038.56118906,3685801.14351084,506,0,136,179,26,40,155,3,10
914,0.1054021,-9535038.56118906,3685801.14351084,491,1,129,178,27,39,157,3,10
915,0.1054021,-9534038.56118906,3685801.14351084,487,1,129,179,28,39,158,3,10
916,0.12436399,-9533038.56118906,3685801.14351084,476,0,134,179,26,40,158,2,10
917,0.12436399,-9532038.56118906,3685801.14351084,479,0,180,180,27,41,158,3,10
918,0.12436399,-9531038.56118906,3685801.14351084,477,0,105,179,29,39,158,3,10
919,0.1507517,-9530038.56118906,3685801.14351084,469,0,144,180,29,38,156,3,10
920,0.1507517,-9529038.56118906,3685801.14351084,472,1,212,181,28,38,158,3,10
921,0.1507517,-9528038.56118906,3685801.14351084,477,0,185,180,28,39,159,3,10
922,0.15496327,-9527038.56118906,3685801.14351084,473,0,180,180,29,37,158,3,10
923,0.15496327,-9526038.56118906,3685801.14351084,469,1,136,179,28,38,154,3,10
924,0.15496327,-9525038.56118906,3685801.14351084,461,1,150,179,28,37,157,3,10
925,0.09071202,-9524038.56118906,3685801.14351084,459,0,156,180,28,37,156,3,10
926,0.09071202,-9523038.56118906,3685801.14351084,456,1,186,181,26,40,158,3,10
927,0.09071202,-9522038.56118906,3685801.14351084,461,0,180,180,26,43,158,3,10
928,0.13715412,-9521038.56118906,3685801.14351084,456,1,133,179,26,41,158,3,10
929,0.13715412,-9520038.56118906,3685801.14351084,449,0,131,179,27,39,156,3,10
930,0.13715412,-9519038.56118906,3685801.14351084,448,0,180,180,29,37,158,3,10
931,0.11590105,-9518038.56118906,3685801.14351084,447,1,158,180,28,39,158,3,10
932,0.11590105,-9517038.56118906,3685801.14351084,442,0,155,180,27,41,159,3,10
933,0.11590105,-9516038.56118906,3685801.14351084,441,1,166,180,28,37,157,4,10
934,0.0735726,-9515038.56118906,3685801.14351084,438,1,148,179,27,39,158,3,10
935,0.0735726,-9514038.56118906,3685801.14351084,433,0,127,180,26,41,158,3,10
936,0.0735726,-9513038.56118906,3685801.14351084,428,0,144,180,29,37,159,2,10
937,0.09493078,-9548038.56118906,3684801.14351084,520,0,128,179,28,40,156,3,10
938,0.09493078,-9547038.56118906,3684801.14351084,520,0,172,180,28,39,157,3,10
939,0.09493078,-9546038.56118906,3684801.14351084,518,1,171,180,27,38,155,3,10
940,0.12566568,-9545038.56118906,3684801.14351084,516,0,125,179,27,40,155,3,10
941,0.12566568,-9544038.56118906,3684801.14351084,506,0,154,180,27,37,155,3,10
942,0.12566568,-9543038.56118906,3684801.14351084,511,0,210,181,27,37,155,3,10
943,0.12800765,-9542038.56118906,3684801.14351084,509,0,198,181,28,39,152,3,10
944,0.12800765,-9541038.56118906,3684801.14351084,514,0,172,180,26,40,152,3,10
945,0.12800765,-9540038.56118906,3684801.14351084,507,0,147,180,25,42,152,3,10
946,0.0770107,-9539038.56118906,3684801.14351084,502,1,115,179,26,40,153,3,10
947,0.0770107,-9538038.56118906,3684801.14351084,492,0,128,179,28,37,155,3,10
948,0.0770107,-9537038.56118906,3684801.14351084,492,1,192,181,27,38,157,3,10
949,0.1054021,-9536038.56118906,3684801.14351084,495,1,152,179,27,39,155,3,10
950,0.1054021,-9535038.56118906,3684801.14351084,482,1,121,179,25,41,157,3,10
951,0.1054021,-9534038.56118906,3684801.14351084,479,0,131,180,26,39,157,3,10
952,0.12436399,-9533038.56118906,3684801.14351084,475,0,60,180,28,38,159,3,10
953,0.12436399,-9532038.56118906,3684801.14351084,471,0,159,180,28,39,157,3,10
954,0.12436399,-9531038.56118906,3684801.14351084,472,0,155,180,28,38,156,3,10
955,0.1507517,-9530038.56118906,3684801.14351084,469,0,90,180,30,35,155,3,10
956,0.1507517,-9529038.56118906,3684801.14351084,465,0,180,180,27,40,159,3,10
957,0.1507517,-9528038.56118906,3684801.14351084,469,0,202,181,28,38,159,4,10
958,0.15496327,-9527038.56118906,3684801.14351084,470,0,164,180,28,38,158,3,10
959,0.15496327,-9526038.56118906,3684801.14351084,459,0,139,179,27,39,158,3,10
960,0.15496327,-9525038.56118906,3684801.14351084,457,0,139,180,26,40,159,3,10
961,0.09071202,-9524038.56118906,3684801.14351084,456,0,127,180,28,39,159,3,10
962,0.09071202,-9523038.56118906,3684801.14351084,450,0,117,180,28,39,161,3,10
963,0.09071202,-9522038.56118906,3684801.14351084,451,0,173,180,25,42,159,3,10
964,0.13715412,-9521038.56118906,3684801.14351084,449,0,136,180,26,41,159,3,10
965,0.13715412,-9520038.56118906,3684801.14351084,446,0,49,180,28,37,157,3,10
966,0.13715412,-9519038.56118906,3684801.14351084,444,0,45,180,28,38,158,4,10
967,0.11590105,-9518038.56118906,3684801.14351084,441,0,74,180,28,38,158,3,10
968,0.11590105,-9517038.56118906,3684801.14351084,438,0,30,180,29,37,159,3,10
969,0.11590105,-9516038.56118906,3684801.14351084,438,0,18,180,28,36,159,3,10
970,0.0735726,-9515038.56118906,3684801.14351084,436,0,0,180,29,35,156,3,10
971,0.0735726,-9514038.56118906,3684801.14351084,438,1,332,181,28,36,158,4,10
972,0.0735726,-9513038.56118906,3684801.14351084,436,1,58,179,28,39,158,3,10
973,0.17320682,-9548038.56118906,3683801.14351084,519,0,104,179,28,39,154,3,10
974,0.17320682,-9547038.56118906,3683801.14351084,514,0,123,179,27,38,156,3,10
975,0.17320682,-9546038.56118906,3683801.14351084,507,1,143,179,27,39,155,3,10
976,0.14740251,-9545038.56118906,3683801.14351084,507,0,160,180,26,39,156,3,10
977,0.14740251,-9544038.56118906,3683801.14351084,501,0,180,180,27,37,155,3,10
978,0.14740251,-9543038.56118906,3683801.14351084,507,0,202,181,26,39,155,3,10
979,0.14576361,-9542038.56118906,3683801.14351084,506,0,158,180,27,39,153,3,10
980,0.14576361,-9541038.56118906,3683801.14351084,502,1,162,180,27,38,154,3,10
981,0.14576361,-9540038.56118906,3683801.14351084,500,0,159,180,26,40,155,3,10
982,0.14146146,-9539038.56118906,3683801.14351084,494,1,138,179,27,37,155,3,10
983,0.14146146,-9538038.56118906,3683801.14351084,487,0,117,179,25,40,156,3,10
984,0.14146146,-9537038.56118906,3683801.14351084,484,0,154,180,25,40,158,3,10
985,0.18325324,-9536038.56118906,3683801.14351084,484,0,163,180,25,39,157,2,10
986,0.18325324,-9535038.56118906,3683801.14351084,480,0,78,180,27,37,156,3,10
987,0.18325324,-9534038.56118906,3683801.14351084,480,0,0,180,27,37,155,3,10
988,0.18162736,-9533038.56118906,3683801.14351084,480,0,0,180,27,37,157,3,10
989,0.18162736,-9532038.56118906,3683801.14351084,476,1,21,179,28,38,156,3,10
990,0.18162736,-9531038.56118906,3683801.14351084,472,0,32,180,29,39,159,3,10
991,0.14663312,-9530038.56118906,3683801.14351084,469,0,21,180,29,36,155,2,10
992,0.14663312,-9529038.56118906,3683801.14351084,468,0,32,180,26,40,157,3,10
993,0.14663312,-9528038.56118906,3683801.14351084,463,0,90,180,28,38,158,3,10
994,0.14831547,-9527038.56118906,3683801.14351084,461,0,150,180,27,39,159,3,10
995,0.14831547,-9526038.56118906,3683801.14351084,457,0,49,180,27,37,158,3,10
996,0.14831547,-9525038.56118906,3683801.14351084,457,0,33,180,27,38,158,3,10
997,0.18203934,-9524038.56118906,3683801.14351084,453,0,49,180,29,36,159,4,10
998,0.18203934,-9523038.56118906,3683801.14351084,453,0,18,180,29,35,160,3,10
999,0.18203934,-9522038.56118906,3683801.14351084,451,0,23,180,27,38,160,4,10
1000,0.162397,-9521038.56118906,3683801.14351084,450,0,0,180,27,39,158,4,10
1001,0.162397,-9520038.56118906,3683801.14351084,451,1,333,181,28,39,157,4,10
1002,0.162397,-9519038.56118906,3683801.14351084,455,1,29,179,27,40,157,4,10
1003,0.16493745,-9518038.56118906,3683801.14351084,449,1,23,180,26,42,160,4,10
1004,0.16493745,-9517038.56118906,3683801.14351084,448,1,3,180,28,40,159,3,10
1005,0.16493745,-9516038.56118906,3683801.14351084,448,1,341,181,27,39,159,4,10
1006,0.16234308,-9515038.56118906,3683801.14351084,455,1,351,181,30,36,154,3,10
1007,0.16234308,-9514038.56118906,3683801.14351084,453,1,0,180,29,37,159,4,10
1008,0.16234308,-9513038.56118906,3683801.14351084,439,0,69,179,27,39,159,3,10
1009,0.17320682,-9548038.56118906,3682801.14351084,516,0,135,180,28,39,158,3,10
1010,0.17320682,-9547038.56118906,3682801.14351084,511,0,113,179,27,38,153,3,10
1011,0.17320682,-9546038.56118906,3682801.14351084,504,0,54,180,25,40,157,3,10
1012,0.14740251,-9545038.56118906,3682801.14351084,503,0,49,180,27,37,153,3,10
1013,0.14740251,-9544038.56118906,3682801.14351084,499,0,45,180,27,37,154,3,10
1014,0.14740251,-9543038.56118906,3682801.14351084,497,0,102,180,27,37,155,4,10
1015,0.14576361,-9542038.56118906,3682801.14351084,495,0,102,180,27,38,156,3,10
1016,0.14576361,-9541038.56118906,3682801.14351084,493,0,60,180,27,39,157,3,10
1017,0.14576361,-9540038.56118906,3682801.14351084,492,0,100,180,30,36,157,3,10
1018,0.14146146,-9539038.56118906,3682801.14351084,489,0,18,180,29,35,155,3,10
1019,0.14146146,-9538038.56118906,3682801.14351084,486,0,43,180,28,37,157,3,10
1020,0.14146146,-9537038.56118906,3682801.14351084,485,0,45,180,27,38,158,3,10
1021,0.18325324,-9536038.56118906,3682801.14351084,480,0,18,180,28,37,154,3,10
1022,0.18325324,-9535038.56118906,3682801.14351084,483,1,327,182,27,35,153,4,10
1023,0.18325324,-9534038.56118906,3682801.14351084,493,1,342,181,26,38,153,3,10
1024,0.18162736,-9533038.56118906,3682801.14351084,491,1,354,181,27,38,154,3,10
1025,0.18162736,-9532038.56118906,3682801.14351084,495,2,11,179,29,39,153,4,9
1026,0.18162736,-9531038.56118906,3682801.14351084,485,1,19,179,30,37,154,3,10
1027,0.14663312,-9530038.56118906,3682801.14351084,481,1,14,179,29,38,155,3,10
1028,0.14663312,-9529038.56118906,3682801.14351084,476,1,29,179,28,39,157,3,10
1029,0.14663312,-9528038.56118906,3682801.14351084,469,1,43,179,26,40,157,4,10
1030,0.14831547,-9527038.56118906,3682801.14351084,464,1,27,179,26,40,157,4,10
1031,0.14831547,-9526038.56118906,3682801.14351084,462,0,334,181,27,41,160,3,10
1032,0.14831547,-9525038.56118906,3682801.14351084,464,0,14,180,28,41,161,4,10
1033,0.18203934,-9524038.56118906,3682801.14351084,460,0,34,180,29,36,157,4,10
1034,0.18203934,-9523038.56118906,3682801.14351084,457,0,4,180,28,37,158,4,10
1035,0.18203934,-9522038.56118906,3682801.14351084,459,1,0,180,28,39,158,3,10
1036,0.162397,-9521038.56118906,3682801.14351084,457,0,345,181,29,39,159,4,10
1037,0.162397,-9520038.56118906,3682801.14351084,462,1,344,181,27,39,156,4,10
1038,0.162397,-9519038.56118906,3682801.14351084,461,1,9,180,28,38,156,4,10
1039,0.16493745,-9518038.56118906,3682801.14351084,460,1,351,181,27,39,157,3,10
1040,0.16493745,-9517038.56118906,3682801.14351084,464,1,358,180,28,39,157,3,10
1041,0.16493745,-9516038.56118906,3682801.14351084,461,1,347,181,28,37,156,4,10
1042,0.16234308,-9515038.56118906,3682801.14351084,471,1,355,181,29,36,154,4,10
1043,0.16234308,-9514038.56118906,3682801.14351084,464,1,55,178,27,39,158,4,10
1044,0.16234308,-9513038.56118906,3682801.14351084,441,0,6,180,25,40,160,3,10
1045,0.17320682,-9548038.56118906,3681801.14351084,512,0,14,180,27,39,156,4,10
1046,0.17320682,-9547038.56118906,3681801.14351084,508,0,0,180,27,38,155,3,10
1047,0.17320682,-9546038.56118906,3681801.14351084,512,1,344,181,27,38,153,3,10
1048,0.14740251,-9545038.56118906,3681801.14351084,513,1,17,180,27,38,154,3,10
1049,0.14740251,-9544038.56118906,3681801.14351084,508,1,16,180,27,36,154,4,10
1050,0.14740251,-9543038.56118906,3681801.14351084,506,1,6,180,28,38,153,4,10
1051,0.14576361,-9542038.56118906,3681801.14351084,505,1,4,180,28,35,153,3,10
1052,0.14576361,-9541038.56118906,3681801.14351084,504,1,11,180,26,38,155,3,10
1053,0.14576361,-9540038.56118906,3681801.14351084,499,1,9,180,27,38,154,3,10
1054,0.14146146,-9539038.56118906,3681801.14351084,501,1,25,179,27,38,153,3,10
1055,0.14146146,-9538038.56118906,3681801.14351084,492,0,44,179,27,38,156,3,10
1056,0.14146146,-9537038.56118906,3681801.14351084,491,1,3,180,28,38,155,3,10
